City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,Port Elizabeth,-33.918,25.5701,55.09,76,1,17.27,ZA,2021-09-19 01:10:56
199,Alofi,-19.0595,-169.9187,78.04,80,4,13.02,NU,2021-09-19 01:10:57
200,Nipawin,53.3668,-104.0009,71.38,31,2,7.61,CA,2021-09-19 01:10:57
201,Monrovia,6.3005,-10.7969,75.2,93,100,5.53,LR,2021-09-19 01:10:57
202,Dali,25.7,100.1833,62.37,94,97,3.85,CN,2021-09-19 01:10:58
203,Samfya,-11.3649,29.5565,68.34,65,0,10.94,ZM,2021-09-19 01:10:58
204,Nikolskoye,59.7035,30.7861,39.09,85,100,6.38,RU,2021-09-19 01:10:58
205,Kruisfontein,-34.0033,24.7314,55.89,84,0,6.53,ZA,2021-09-19 01:10:59
206,Ranong,9.9658,98.6348,80.91,84,100,4.27,TH,2021-09-19 01:10:59
207,Saint-Denis,48.9167,2.3333,65.23,86,0,2.3,FR,2021-09-19 01:10:59
208,Hua Hin,12.5707,99.9588,81.19,78,100,4.25,TH,2021-09-19 01:11:00
209,Bilma,18.6853,12.9164,86.52,16,83,8.3,NE,2021-09-19 01:11:00
210,Abalak,58.1286,68.5944,34.25,96,100,10.76,RU,2021-09-19 01:11:00
211,Camacha,33.0833,-16.3333,69.22,60,40,9.22,PT,2021-09-19 01:11:01
212,Lompoc,34.6391,-120.4579,69.94,72,1,10.36,US,2021-09-19 01:11:01
213,Port Blair,11.6667,92.75,81.43,80,52,5.37,IN,2021-09-19 01:11:02
214,Dalvik,65.9702,-18.5286,48.87,79,100,7.58,IS,2021-09-19 01:11:02
215,Kedrovyy,56.1667,91.8167,43.21,83,100,3.2,RU,2021-09-19 01:11:02
216,Shumskiy,54.8318,99.1328,54.5,82,84,2.04,RU,2021-09-19 01:11:03
217,Sooko,-7.9097,111.6599,76.75,74,98,7.0,ID,2021-09-19 01:11:03
218,Matagami,49.7502,-77.6328,49.64,77,100,1.77,CA,2021-09-19 01:11:03
219,Aleksandrovskoye,44.7142,43.0008,55.54,93,99,11.27,RU,2021-09-19 01:11:04
220,Batemans Bay,-35.7167,150.1833,64.98,34,100,12.08,AU,2021-09-19 01:11:04
221,Mumford,5.2618,-0.759,75.06,93,100,6.62,GH,2021-09-19 01:11:04
222,Atambua,-9.1061,124.8925,83.32,42,34,3.4,ID,2021-09-19 01:11:05
223,Matara,5.9485,80.5353,78.31,89,100,4.14,LK,2021-09-19 01:11:05
224,Avera,33.194,-82.5271,80.47,62,100,2.19,US,2021-09-19 01:11:06
225,Tibiri,13.5627,7.0485,80.62,66,5,12.06,NE,2021-09-19 01:08:58
226,Salalah,17.0151,54.0924,80.69,94,75,4.61,OM,2021-09-19 01:11:06
227,Padang,-0.9492,100.3543,73.45,96,100,3.96,ID,2021-09-19 01:11:06
228,Belomorsk,64.5232,34.7668,40.01,79,100,0.67,RU,2021-09-19 01:11:07
229,Nueva Italia De Ruiz,19.0167,-102.1,75.6,90,100,3.8,MX,2021-09-19 01:11:07
230,Ipatele,46.9167,27.4167,55.02,87,85,2.91,RO,2021-09-19 01:11:07
231,Hun,29.1268,15.9477,80.13,28,0,8.95,LY,2021-09-19 01:11:08
232,Rabo De Peixe,37.8,-25.5833,65.71,72,40,9.22,PT,2021-09-19 01:11:08
233,Valdivia,-39.8142,-73.2459,46.49,92,9,1.9,CL,2021-09-19 01:11:08
234,Margate,51.3813,1.3862,62.31,90,100,9.04,GB,2021-09-19 01:06:19
235,Ahuimanu,21.4447,-157.8378,89.31,63,40,16.11,US,2021-09-19 01:11:09
236,Yulara,-25.2406,130.9889,73.54,30,0,14.05,AU,2021-09-19 01:11:09
237,Bemidji,47.4736,-94.8803,65.88,61,1,8.05,US,2021-09-19 01:11:09
238,Sidi Ali,36.0998,0.4206,71.08,69,0,2.55,DZ,2021-09-19 01:11:10
239,Camalu,30.85,-116.0667,71.42,67,0,13.04,MX,2021-09-19 01:11:10
240,Ambunti,-4.2365,142.8448,79.68,91,98,1.32,PG,2021-09-19 01:11:11
241,Tura,25.5198,90.2201,73.98,95,34,2.73,IN,2021-09-19 01:11:11
242,Cairns,-16.9167,145.7667,84.07,49,41,21.85,AU,2021-09-19 01:11:11
243,Formosa Do Rio Preto,-11.0483,-45.1931,77.31,31,1,2.95,BR,2021-09-19 01:11:12
244,Moreira Sales,-24.0622,-53.0069,79.16,48,44,7.23,BR,2021-09-19 01:08:56
245,Kilosa,-6.8333,36.9833,68.47,72,72,1.03,TZ,2021-09-19 01:11:12
246,Inhambane,-23.865,35.3833,66.04,55,93,8.14,MZ,2021-09-19 01:11:12
247,Torbay,47.6666,-52.7314,61.48,94,1,14.18,CA,2021-09-19 01:09:34
248,Esperance,-33.8667,121.9,60.64,82,100,12.12,AU,2021-09-19 01:11:13
249,Labrea,-7.2586,-64.7981,74.61,90,96,2.64,BR,2021-09-19 01:11:13
250,Kilindoni,-7.9139,39.6668,75.74,78,18,7.47,TZ,2021-09-19 01:11:14
251,Kungurtug,50.5994,97.5228,52.81,51,0,1.54,RU,2021-09-19 01:11:14
252,Carlsbad,33.1581,-117.3506,81.59,74,1,5.99,US,2021-09-19 01:11:14
253,Okitipupa,6.5047,4.7839,73.9,97,95,2.51,NG,2021-09-19 01:11:14
254,Olafsvik,64.8945,-23.7142,45.21,81,100,6.31,IS,2021-09-19 01:11:15
255,Kalaleh,37.3807,55.4916,71.15,77,98,3.4,IR,2021-09-19 01:11:15
256,Keetmanshoop,-26.5833,18.1333,57.47,28,1,4.94,NA,2021-09-19 01:11:16
257,Trofors,65.5333,13.4063,51.15,81,94,3.96,NO,2021-09-19 01:11:16
258,Barabinsk,55.3571,78.357,45.18,76,100,12.88,RU,2021-09-19 01:11:16
259,Sept-Iles,50.2001,-66.3821,58.24,65,87,3.0,CA,2021-09-19 01:11:16
260,Mnogovershinnyy,53.9353,139.9242,46.89,54,15,18.63,RU,2021-09-19 01:09:25
261,Khandbari,27.3747,87.2039,71.24,88,52,1.66,NP,2021-09-19 01:11:17
262,Carrollton,32.9537,-96.8903,90.21,49,20,4.61,US,2021-09-19 01:11:18
263,Tucuman,-26.8241,-65.2226,68.0,56,82,6.91,AR,2021-09-19 01:09:22
264,Katsuura,35.1333,140.3,78.91,72,93,26.04,JP,2021-09-19 01:06:28
265,Okhotsk,59.3833,143.3,49.35,69,85,3.02,RU,2021-09-19 01:11:18
266,Farafangana,-22.8167,47.8333,62.11,69,25,10.02,MG,2021-09-19 01:11:18
267,Saint-Philippe,-21.3585,55.7679,71.15,75,100,17.31,RE,2021-09-19 01:11:19
268,Otane,-39.8833,176.6333,58.39,47,3,2.57,NZ,2021-09-19 01:11:19
269,Nuuk,64.1835,-51.7216,34.41,86,2,8.05,GL,2021-09-19 01:11:19
270,Sola,-13.8833,167.55,79.9,78,11,21.45,VU,2021-09-19 01:11:20
271,Kamenka,51.3223,42.7678,48.87,52,100,11.21,RU,2021-09-19 01:11:20
272,Conway,35.0887,-92.4421,77.02,88,40,6.91,US,2021-09-19 01:08:01
273,Turayf,31.6725,38.6637,74.57,34,0,8.23,SA,2021-09-19 01:11:21
274,Cabedelo,-6.9811,-34.8339,75.87,78,3,14.34,BR,2021-09-19 01:11:21
275,Taoudenni,22.6783,-3.9836,95.11,16,2,24.16,ML,2021-09-19 01:11:21
276,Alpena,45.0617,-83.4327,57.97,87,1,0.0,US,2021-09-19 01:11:22
277,Chadan,51.2833,91.5833,54.14,50,0,1.61,RU,2021-09-19 01:11:22
278,Manzhouli,49.6,117.4333,48.9,46,0,3.94,CN,2021-09-19 01:11:22
279,Sand Springs,36.1398,-96.1089,87.55,57,1,3.44,US,2021-09-19 01:07:56
280,Waynesville,35.4887,-82.9887,69.48,93,100,1.99,US,2021-09-19 01:11:23
281,East London,-33.0153,27.9116,59.99,76,19,23.33,ZA,2021-09-19 01:11:23
282,Mount Gambier,-37.8333,140.7667,53.51,94,90,18.41,AU,2021-09-19 01:11:23
283,Novyye Gorki,56.7253,41.0601,33.58,83,100,4.92,RU,2021-09-19 01:11:24
284,Dera Bugti,29.0307,69.151,86.81,40,5,5.06,PK,2021-09-19 01:08:18
285,Elko,41.0002,-115.5012,77.02,12,0,21.99,US,2021-09-19 01:11:24
286,Takoradi,4.8845,-1.7554,74.77,93,100,5.68,GH,2021-09-19 01:11:24
287,Mandi,31.7167,76.9167,68.56,92,85,0.13,IN,2021-09-19 01:11:25
288,Narsaq,60.9167,-46.05,41.22,94,100,4.16,GL,2021-09-19 01:11:25
289,Pangnirtung,66.1451,-65.7125,32.86,83,100,3.29,CA,2021-09-19 01:11:25
290,Sakakah,29.9697,40.2064,79.54,22,0,8.48,SA,2021-09-19 01:11:26
291,Chuy,-33.6971,-53.4616,58.05,98,25,6.6,UY,2021-09-19 01:11:26
292,Seoul,37.5683,126.9778,76.51,58,40,2.93,KR,2021-09-19 01:09:58
