City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
173,Broome,US,42.2506,-75.833,77.02,57,1,1.99,clear sky
174,Tatawin,TN,32.9297,10.4518,101.28,67,34,12.93,scattered clouds
175,Aklavik,CA,68.2191,-135.0107,41.72,65,100,8.34,overcast clouds
176,Quang Ngai,VN,15.1167,108.8,75.7,93,94,4.14,heavy intensity rain
177,Dikson,RU,73.5069,80.5464,34.43,84,100,5.91,overcast clouds
178,Kargasok,RU,59.0556,80.8572,38.5,96,100,10.56,overcast clouds
179,Faanui,PF,-16.4833,-151.75,77.85,74,50,16.22,scattered clouds
180,Goundam,ML,16.4145,-3.6708,101.35,20,35,5.26,scattered clouds
181,San Blas,MX,21.5167,-105.2667,89.49,63,99,2.64,overcast clouds
182,Beringovskiy,RU,63.05,179.3167,40.48,93,100,7.56,light rain
183,Fortuna,US,40.5982,-124.1573,62.92,78,1,1.99,clear sky
184,Pacific Grove,US,36.6177,-121.9166,78.8,57,1,3.44,clear sky
185,Iznik,TR,40.4286,29.7211,78.75,47,3,1.39,clear sky
186,Birin,NP,26.8865,88.0718,61.93,94,14,3.31,few clouds
187,Shasta Lake,US,40.6804,-122.3708,76.08,28,0,5.99,clear sky
188,Bastia,FR,42.6667,9.3333,74.53,60,40,11.01,scattered clouds
189,Sobolevo,RU,54.4299,31.8996,43.3,96,100,10.89,moderate rain
190,Stillwater,US,36.1156,-97.0584,91.69,53,1,12.66,clear sky
191,Boa Vista,BR,2.8197,-60.6733,89.58,55,75,10.36,broken clouds
192,Talnakh,RU,69.4865,88.3972,30.94,82,86,2.62,overcast clouds
193,Sakakah,SA,29.9697,40.2064,92.77,14,0,6.89,clear sky
194,Nanortalik,GL,60.1432,-45.2371,37.62,75,17,14.07,few clouds
195,Acarau,BR,-2.8856,-40.12,85.08,61,37,19.66,scattered clouds
196,Esmeraldas,BR,-19.7625,-44.3139,91.51,20,10,0.96,clear sky
197,Buala,SB,-8.145,159.5921,78.31,87,99,7.52,light rain
198,Alice Springs,AU,-23.7,133.8833,56.75,35,4,12.66,clear sky
199,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,67,66,10.45,broken clouds
200,Klaksvik,FO,62.2266,-6.589,52.72,80,20,39.19,few clouds
201,Ambilobe,MG,-13.2,49.05,72.14,69,24,7.99,few clouds
202,Manado,ID,1.487,124.8455,75.97,94,40,3.44,scattered clouds
203,Coihaique,CL,-45.5752,-72.0662,54.21,54,23,9.08,few clouds
204,Kamaishi,JP,39.2667,141.8833,63.46,79,58,5.91,broken clouds
205,Khrebtovaya,RU,56.7032,104.2494,43.21,94,100,12.57,moderate rain
206,Gat,IL,31.61,34.7642,81.39,100,0,7.23,clear sky
207,Hami,CN,42.8,93.45,80.08,20,51,8.79,broken clouds
208,Pachino,IT,36.7186,15.0907,83.61,76,46,10.38,scattered clouds
209,Yellowknife,CA,62.456,-114.3525,45.12,87,75,6.91,broken clouds
210,Praia,CV,14.9215,-23.5087,86.54,70,40,16.11,scattered clouds
211,Wynyard,AU,-41.0,145.7167,40.95,83,54,8.59,broken clouds
212,Leua,SK,48.2156,18.6071,57.49,62,75,7.9,broken clouds
213,Canora,CA,51.6333,-102.4343,55.42,43,50,14.79,scattered clouds
214,Kununurra,AU,-15.7667,128.7333,73.38,53,34,3.44,scattered clouds
215,Zaria,NG,11.1113,7.7227,80.44,54,56,1.66,broken clouds
216,Boden,SE,65.8252,21.6886,42.8,84,64,4.41,broken clouds
217,Asau,RO,46.4333,26.4,52.75,94,100,4.27,light rain
218,Mantua,IT,45.1667,10.7833,74.71,68,61,7.0,broken clouds
219,Colac,AU,-38.3333,143.5833,41.83,89,75,9.46,broken clouds
220,Marawi,PH,7.9986,124.2928,64.65,94,99,1.66,overcast clouds
221,Souillac,MU,-20.5167,57.5167,70.18,68,75,14.97,light rain
222,Kaeo,NZ,-35.1,173.7833,45.32,94,15,2.26,few clouds
223,Tanda,IN,26.55,82.65,82.76,76,86,4.07,overcast clouds
224,Jacareacanga,BR,-6.2222,-57.7528,93.51,49,40,2.3,scattered clouds
225,Langfang,CN,39.5097,116.6947,59.25,96,96,5.99,light rain
226,Cayenne,GF,4.9333,-52.3333,86.09,75,20,3.0,few clouds
227,Lake Havasu City,US,34.4839,-114.3224,88.41,17,1,5.01,clear sky
228,Yuza,JP,39.0,139.9167,63.01,81,39,12.1,scattered clouds
229,Izumo,JP,35.3667,132.7667,69.75,88,0,5.32,clear sky
230,Pictou,CA,45.6834,-62.7153,69.58,52,12,2.3,few clouds
231,Poronaysk,RU,49.2167,143.1167,47.12,84,8,6.62,clear sky
232,Pristina,XK,42.6727,21.1669,63.25,76,40,11.01,scattered clouds
233,Farroupilha,BR,-29.225,-51.3478,78.64,50,40,4.61,scattered clouds
234,Alyangula,AU,-13.8483,136.4192,66.07,88,25,0.0,scattered clouds
235,Pahrump,US,36.2083,-115.9839,81.25,20,6,1.01,clear sky
236,Te Anau,NZ,-45.4167,167.7167,42.19,98,100,5.17,moderate rain
237,Tarragona,ES,41.129,1.249,76.84,35,20,17.27,few clouds
238,Aktash,RU,50.3,87.7333,25.2,56,0,3.89,clear sky
239,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,20,26.46,few clouds
240,Port Augusta,AU,-32.5,137.7667,51.94,59,79,18.39,broken clouds
241,Lenine,UA,45.2986,35.7771,64.08,68,66,4.05,broken clouds
242,Saskylakh,RU,71.9167,114.0833,31.59,83,100,4.72,overcast clouds
243,Batangafo,CF,7.3008,18.2833,71.8,93,59,3.02,broken clouds
244,Ornes,NO,66.8689,13.7078,48.9,63,26,10.25,scattered clouds
245,Dunedin,NZ,-45.8742,170.5036,53.1,62,100,10.71,moderate rain
246,Sur,OM,22.5667,59.5289,85.46,67,2,14.2,clear sky
247,Harper,LR,4.375,-7.7169,79.34,81,96,4.76,overcast clouds
248,Polessk,RU,54.862,21.1028,50.05,69,51,8.43,broken clouds
249,Chapais,CA,49.7834,-74.8492,71.38,32,70,14.23,broken clouds
250,Merauke,ID,-8.4667,140.3333,75.67,91,100,10.67,moderate rain
251,Ugoofaaru,MV,5.6667,73.0,82.72,75,89,7.74,overcast clouds
252,Raipur,IN,21.2333,81.6333,77.14,94,40,3.44,haze
253,Langsa,ID,4.4683,97.9683,73.8,97,100,2.19,overcast clouds
254,Vung Tau,VN,10.346,107.0843,79.41,84,100,7.94,overcast clouds
255,Veraval,IN,20.9,70.3667,80.91,88,75,11.34,broken clouds
256,Woodburn,US,45.1437,-122.8554,61.54,80,90,1.99,mist
257,Petropavlovka,RU,50.6114,105.3196,53.83,89,28,5.41,scattered clouds
258,Port Blair,IN,11.6667,92.75,80.76,84,99,7.11,overcast clouds
259,Togur,RU,58.3631,82.8265,35.71,99,100,6.35,overcast clouds
260,Doha,QA,25.2867,51.5333,93.51,49,0,14.97,clear sky
261,Mount Isa,AU,-20.7333,139.5,73.17,15,52,17.27,broken clouds
262,Codrington,AU,-38.2667,141.9667,45.52,73,99,22.24,overcast clouds
263,Methoni,GR,36.8197,21.7049,81.21,85,0,7.45,clear sky
264,Kushima,JP,31.4583,131.2333,74.88,91,43,2.51,scattered clouds
265,Tongren,CN,27.7172,109.1853,70.74,89,0,2.24,light rain
266,Guerrero Negro,MX,27.9769,-114.0611,76.77,56,0,10.27,clear sky
267,Changping,CN,40.2186,116.2197,58.64,78,85,6.96,overcast clouds
268,Broken Hill,AU,-31.95,141.4333,42.51,65,42,14.97,scattered clouds
269,Mandiana,GN,10.6333,-8.6833,82.83,73,40,3.71,scattered clouds
270,Shimoda,JP,34.6667,138.95,69.17,80,5,15.14,clear sky
271,Weyburn,CA,49.6668,-103.8511,57.42,44,35,17.27,scattered clouds
272,Lucapa,AO,-8.4192,20.7447,81.25,30,73,2.82,broken clouds
273,Port Lincoln,AU,-34.7333,135.8667,51.44,63,93,16.87,overcast clouds
274,Borazjan,IR,29.2666,51.2159,90.73,29,0,0.43,clear sky
275,Bokoro,TD,12.3807,17.0568,81.63,66,85,6.11,overcast clouds
276,Marco,US,25.9726,-81.729,93.29,67,75,5.99,haze
277,Wagar,SD,16.1525,36.2032,97.2,28,3,3.89,clear sky
278,Diu,IN,20.7141,70.9822,79.79,89,55,11.03,broken clouds
279,Vila Velha,BR,-20.3297,-40.2925,80.55,61,40,9.22,scattered clouds
